tstamp,CH1,CH2
2025-06-23 11:30:00,6925547.2,7762525.4
2025-06-23 11:30:01,6925532.6,7762553.0
2025-06-23 11:30:02,6925508.4,7762596.2
2025-06-23 11:30:03,6925464.6,7762667.2
2025-06-23 11:30:04,6925435.5,7762754.9
2025-06-23 11:30:05,6925440.0,7762991.4
2025-06-23 11:30:06,6925482.8,7763049.8
2025-06-23 11:30:07,6925496.6,7763183.8
2025-06-23 11:30:08,6925524.8,7763371.8
2025-06-23 11:30:09,6925469.2,7763446.8
2025-06-23 11:30:10,6925389.4,7763575.8
2025-06-23 11:30:11,6925409.8,7763609.8
2025-06-23 11:30:12,6925445.6,7763645.4
2025-06-23 11:30:13,6925430.8,7763740.8
2025-06-23 11:30:14,6925383.3,7763934.1
2025-06-23 11:30:15,6925307.0,7764087.2
2025-06-23 11:30:16,6925269.6,7764307.6
2025-06-23 11:30:17,6925276.8,7764499.0
2025-06-23 11:30:18,6925298.4,7764650.4
2025-06-23 11:30:19,6925237.0,7764834.8
2025-06-23 11:30:20,6925236.2,7765036.8
2025-06-23 11:30:21,6925264.6,7765121.8
2025-06-23 11:30:22,6925284.75,7764934.5
2025-06-23 11:30:23,6925273.4,7764124.4
2025-06-23 11:30:24,6925225.6,7763425.4
2025-06-23 11:30:25,6925193.8,7763290.2
2025-06-23 11:30:26,6925164.2,7763436.8
2025-06-23 11:30:27,6925146.4,7763569.8
2025-06-23 11:30:28,6925137.2,7763826.0
2025-06-23 11:30:29,6925125.2,7764185.5
2025-06-23 11:30:30,6925074.6,7764510.6
2025-06-23 11:30:31,6925045.2,7764779.2
2025-06-23 11:30:32,6925040.0,7765058.4
2025-06-23 11:30:33,6925053.6,7765286.8
2025-06-23 11:30:34,6925026.6,7765538.2
2025-06-23 11:30:35,6924961.6,7765751.4
2025-06-23 11:30:36,6924944.4,7765885.4
2025-06-23 11:30:37,6924965.0,7766002.2
2025-06-23 11:30:38,6924911.4,7766144.2
2025-06-23 11:30:39,6924877.5,7766219.8
2025-06-23 11:30:40,6924794.8,7766455.0
2025-06-23 11:30:41,6924768.4,7766642.4
2025-06-23 11:30:42,6924686.0,7766826.4
2025-06-23 11:30:43,6924658.2,7766967.8
2025-06-23 11:30:44,6924629.8,7767143.7
2025-06-23 11:30:45,6924562.2,7767284.8
2025-06-23 11:30:46,6924501.0,7767409.8
2025-06-23 11:30:47,6924352.0,7767581.2
2025-06-23 11:30:48,6924303.2,7768174.0
2025-06-23 11:30:49,6924272.5,7768596.9
2025-06-23 11:30:50,6924240.0,7768849.2
2025-06-23 11:30:51,6924189.2,7769090.6
2025-06-23 11:30:52,6924171.0,7769267.8
2025-06-23 11:30:53,6924174.0,7769470.2
2025-06-23 11:30:54,6924180.1,7769760.9
2025-06-23 11:30:55,6924137.6,7770009.8
2025-06-23 11:30:56,6924109.8,7770211.0
2025-06-23 11:30:57,6924109.0,7770356.6
2025-06-23 11:30:58,6924065.0,7770508.2
2025-06-23 11:30:59,6924010.7,7770757.6
2025-06-23 11:31:00,6923997.6,7770981.0
2025-06-23 11:31:01,6924032.0,7771047.8
2025-06-23 11:31:02,6924091.0,7771119.2
2025-06-23 11:31:03,6924170.8,7771146.4
2025-06-23 11:31:04,6924236.8,7771242.5
2025-06-23 11:31:05,6924310.4,7771343.0
2025-06-23 11:31:06,6924383.4,7771443.6
2025-06-23 11:31:07,6924414.4,7771504.6
2025-06-23 11:31:08,6924436.8,7771553.8
2025-06-23 11:31:09,6924520.3,7771682.1
2025-06-23 11:31:10,6924646.0,7771785.8
2025-06-23 11:31:11,6925512.0,7771845.0
2025-06-23 11:31:12,6925641.0,7771997.0
2025-06-23 11:31:13,6925692.2,7772143.4
2025-06-23 11:31:14,6925778.4,7772192.4
2025-06-23 11:31:15,6925886.8,7772213.2
2025-06-23 11:31:16,6925938.8,7772195.2
2025-06-23 11:31:17,6925987.0,7772174.4
2025-06-23 11:31:18,6925991.6,7772153.2
2025-06-23 11:31:19,6926089.6,7772184.3
2025-06-23 11:31:20,6926413.2,7772195.6
2025-06-23 11:31:21,6926604.6,7772207.0
2025-06-23 11:31:22,6926821.4,7772270.8
2025-06-23 11:31:23,6926915.2,7772381.4
2025-06-23 11:31:24,6927009.777777778,7772446.222222222
2025-06-23 11:31:25,6927044.333333333,7772499.666666667
2025-06-23 11:31:26,6927091.4,7772517.4
2025-06-23 11:31:27,6927155.8,7772568.0
2025-06-23 11:31:28,6927189.0,7772637.4
2025-06-23 11:31:29,6927184.666666667,7772731.555555556
2025-06-23 11:31:30,6927173.166666667,7772829.5
2025-06-23 11:31:31,6927150.4,7772855.8
2025-06-23 11:31:32,6927165.2,7772899.2
2025-06-23 11:31:33,6927175.2,7772967.2
2025-06-23 11:31:34,6927094.0,7773007.222222222
2025-06-23 11:31:35,6927096.666666667,7773096.5
2025-06-23 11:31:36,6927121.8,7773186.4
2025-06-23 11:31:37,6927171.2,7773198.2
2025-06-23 11:31:38,6927195.2,7773267.2
2025-06-23 11:31:39,6927186.888888889,7773368.0
2025-06-23 11:31:40,6927144.333333333,7773382.833333333
2025-06-23 11:31:41,6927140.6,7773335.8
2025-06-23 11:31:42,6927117.4,7773297.8
2025-06-23 11:31:43,6927126.0,7773249.4
2025-06-23 11:31:44,6927083.888888889,7773231.888888889
2025-06-23 11:31:45,6927023.833333333,7773261.833333333
2025-06-23 11:31:46,6927070.8,7773192.6
2025-06-23 11:31:47,6927049.0,7773101.8
2025-06-23 11:31:48,6927025.2,7773049.8
2025-06-23 11:31:49,6927033.333333333,7773030.333333333
2025-06-23 11:31:50,6927002.0,7772995.166666667
2025-06-23 11:31:51,6927021.0,7773028.4
2025-06-23 11:31:52,6926959.8,7773062.6
2025-06-23 11:31:53,6927014.8,7773109.0
2025-06-23 11:31:54,6926950.333333333,7773283.222222222
2025-06-23 11:31:55,6926931.166666667,7773378.166666667
2025-06-23 11:31:56,6926884.6,7773285.2
2025-06-23 11:31:57,6926906.2,7773388.2
2025-06-23 11:31:58,6926942.0,7773496.0
